Name,Date Public,Founded,MarketValue,P/Q-1 Earnings Date,P/Q-1 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-2 Earnings Date,P/Q-2 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-3 Earnings Date,P/Q-3 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-4 Earnings Date,P/Q-4 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-5 Earnings Date,P/Q-5 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings,P/Q-6 Earnings Date,P/Q-6 % Variance,-10 Before Earnings,+10 Since Earnings,+20 Since Earnings,+30 Since Earnings
MSCI Inc. Class A,11/15/2007,1998,"$24,034.59",1/30/2020,0.04,0.06,0.04,0.06,0.05,10/31/2019,0.05,-0.01,0.05,0.02,-0.01,8/1/2019,2%,-0.06,0.02,0.03,-0.05,5/2/2019,0.10,0.01,0.03,0.02,0.02,1/31/2019,0.01,0.01,0.01,0.07,-0.01,11/1/2018,0.04,-0.01,0.03,0.03,-0.01
Sysco Corporation,11/05/1984,1969,"$23,935.52",2/3/2020,0.02,0.02,-0.04,0.00,-0.31,11/4/2019,0.01,0.00,-0.02,0.02,0.00,8/12/2019,4%,0.02,0.02,0.01,0.03,5/6/2019,0.13,-0.02,0.06,-0.06,-0.01,2/4/2019,0.03,-0.01,-0.02,-0.01,-0.02,11/5/2018,-0.01,0.02,0.04,0.00,0.03
Phillips 66, 4/12/2012,#N/A,"$23,888.29",1/31/2020,-0.01,-0.08,-0.07,-0.08,-0.28,10/25/2019,0.20,0.01,0.02,-0.03,-0.05,7/26/2019,11%,0.02,0.02,-0.03,0.03,4/30/2019,0.18,-0.03,-0.04,-0.03,-0.03,2/8/2019,0.70,-0.02,0.01,0.00,-0.01,10/26/2018,0.27,-0.09,-0.04,-0.04,-0.03
"AutoZone, Inc.", 4/02/1991,1979,"$23,787.00",3/3/2020,0.05,0.08,-0.01,0.00,0.00,12/10/2019,0.04,0.00,-0.05,-0.08,-0.01,9/24/2019,4%,0.02,-0.02,0.01,0.02,5/21/2019,0.06,-0.02,0.05,0.01,-0.01,2/26/2019,0.15,-0.02,0.00,0.06,0.02,12/4/2018,0.10,-0.02,0.02,0.00,-0.05
Verisk Analytics Inc,10/07/2009,1971,"$23,745.50",2/19/2020,0.01,0.00,0.07,-0.14,0.00,10/30/2019,-0.01,-0.05,-0.07,0.04,-0.01,7/31/2019,0%,0.00,0.05,0.03,-0.06,5/1/2019,0.00,0.01,0.03,0.02,0.00,2/20/2019,-0.03,0.02,0.03,0.00,0.05,10/31/2018,0.01,0.05,0.01,0.01,-0.03
Amphenol Corporation Class A,11/08/1991,1932,"$23,728.84",1/22/2020,0.08,-0.02,-0.02,-0.02,0.00,10/23/2019,0.09,0.03,-0.01,-0.02,0.00,7/24/2019,-1%,0.00,-0.01,-0.01,0.00,4/24/2019,0.01,0.01,-0.06,-0.04,0.02,1/23/2019,0.08,0.01,0.04,0.02,0.01,10/24/2018,0.06,-0.03,0.04,-0.02,-0.01
"Yum! Brands, Inc.", 9/17/1997,1997,"$23,602.49",2/6/2020,-0.11,0.00,0.00,-0.03,-0.12,10/30/2019,-0.16,-0.03,-0.06,0.00,-0.01,8/1/2019,7%,0.01,0.03,-0.02,-0.08,5/1/2019,0.01,0.01,0.01,0.03,0.04,2/7/2019,-0.58,-0.02,-0.03,0.03,0.01,10/31/2018,0.24,0.00,-0.01,0.02,0.05
V.F. Corporation,11/05/1984,1899,"$23,501.65",1/23/2020,0.02,-0.07,-0.02,0.00,-0.05,10/25/2019,-0.04,0.00,0.01,-0.01,0.04,7/24/2019,4%,0.01,-0.04,-0.02,0.05,5/22/2019,0.03,-0.01,-0.06,0.01,-0.02,1/18/2019,0.19,-0.02,0.01,0.00,-0.02,10/19/2018,0.07,0.00,0.11,-0.04,-0.01
McKesson Corporation,11/05/1984,1833,"$23,475.63",2/4/2020,0.09,-0.06,0.10,-0.02,-0.13,10/30/2019,0.00,0.07,0.05,-0.02,-0.02,8/1/2019,9%,0.00,-0.01,-0.05,0.01,5/8/2019,0.01,0.11,-0.01,-0.01,0.01,2/1/2019,0.06,0.00,0.04,-0.12,0.00,10/25/2018,0.10,-0.06,0.05,-0.02,0.01
TE Connectivity Ltd., 6/14/2007,2000,"$23,460.11",1/29/2020,0.06,0.01,-0.07,-0.01,-0.02,10/30/2019,0.02,0.01,0.02,-0.02,0.01,7/24/2019,6%,-0.04,0.02,0.01,0.02,4/24/2019,0.11,0.02,-0.03,-0.02,0.02,1/23/2019,0.01,0.02,0.06,-0.02,-0.01,10/31/2018,0.01,0.02,0.01,-0.02,0.01
"American Water Works Company, Inc.", 4/23/2008,1886,"$23,217.28",2/19/2020,0.00,-0.02,0.09,-0.09,0.00,10/31/2019,0.03,-0.02,-0.06,0.01,-0.02,8/1/2019,1%,-0.01,0.10,-0.01,-0.07,5/2/2019,-0.03,0.04,0.05,0.06,0.00,2/20/2019,0.01,0.01,0.03,0.02,-0.02,11/1/2018,0.03,0.02,0.04,0.03,0.05
Willis Towers Watson Public Limited Company, 6/12/2001,1828,"$23,174.93",2/6/2020,0.01,0.08,0.00,0.07,-0.10,10/31/2019,0.00,-0.01,-0.01,0.02,0.01,7/31/2019,2%,0.00,0.02,-0.01,-0.03,5/1/2019,-0.01,0.01,0.02,0.03,0.02,2/7/2019,-0.02,0.02,0.02,0.01,0.01,11/2/2018,0.17,0.04,0.04,-0.01,0.03
"Twitter, Inc.",11/07/2013,2006,"$22,941.01",2/6/2020,-0.14,-0.02,0.00,-0.02,-0.12,10/24/2019,-0.14,-0.05,-0.08,0.02,0.00,7/26/2019,763%,0.02,0.03,0.01,0.03,4/23/2019,1.41,-0.02,-0.01,-0.02,-0.02,2/7/2019,0.25,0.07,0.00,-0.04,0.08,10/25/2018,0.51,0.07,0.04,-0.03,0.07
IQVIA Holdings Inc, 5/09/2013,1982,"$22,889.31",2/12/2020,0.01,-0.01,-0.02,-0.04,0.05,10/30/2019,0.02,0.01,-0.03,0.01,-0.02,7/24/2019,2%,-0.02,0.01,0.00,-0.04,5/1/2019,0.02,-0.03,0.03,0.03,0.00,2/14/2019,0.02,0.01,-0.01,-0.02,0.01,10/22/2018,0.02,0.03,-0.03,-0.04,0.06
Hormel Foods Corporation,11/05/1984,1891,"$22,801.70",2/20/2020,-0.01,-0.01,0.06,-0.03,0.00,11/26/2019,0.01,0.01,0.03,-0.03,-0.02,8/22/2019,2%,-0.01,-0.03,0.01,0.03,5/23/2019,0.02,0.01,0.06,-0.04,-0.01,2/21/2019,-0.01,0.00,0.04,-0.04,-0.04,11/20/2018,0.05,0.04,-0.02,0.04,-0.04
KLA Corporation,11/05/1984,1997,"$22,789.95",2/5/2020,0.03,0.01,-0.04,0.04,-0.07,10/31/2019,0.13,0.06,0.02,-0.09,0.04,8/6/2019,2%,-0.03,0.03,0.06,0.02,5/7/2019,0.09,0.00,-0.08,0.01,0.02,1/30/2019,0.11,0.07,-0.01,0.06,0.01,10/30/2018,0.11,-0.03,0.00,0.05,-0.03
PACCAR Inc,11/05/1984,1905,"$22,560.51",1/28/2020,0.01,-0.03,-0.04,-0.01,0.02,10/22/2019,0.06,0.05,0.02,-0.02,0.01,7/23/2019,-2%,-0.02,-0.01,-0.03,0.00,4/30/2019,0.10,0.00,-0.01,0.00,0.00,1/29/2019,0.08,0.01,-0.01,0.01,0.00,10/23/2018,0.02,-0.07,0.03,0.04,-0.03
Schlumberger NV,11/05/1984,1926,"$22,432.70",1/17/2020,0.07,-0.05,-0.10,-0.03,-0.09,10/18/2019,0.07,-0.04,0.04,0.01,0.03,7/19/2019,1%,-0.02,-0.02,-0.11,-0.02,4/18/2019,0.00,0.08,-0.11,-0.03,-0.05,1/18/2019,0.00,0.02,-0.02,0.00,-0.02,10/19/2018,0.02,-0.03,-0.11,-0.07,-0.06
IHS Markit Ltd., 6/19/2014,1959,"$22,375.24",1/14/2020,0.07,0.04,0.01,-0.02,0.01,9/24/2019,0.07,-0.01,0.03,0.00,-0.04,6/26/2019,9%,-0.01,0.02,-0.01,0.02,3/26/2019,0.06,0.01,0.01,0.00,0.02,1/15/2019,0.04,0.01,-0.01,0.01,-0.02,9/25/2018,0.05,-0.02,0.00,0.01,0.02
Ford Motor Company,11/05/1984,1903,"$22,323.20",2/5/2020,-0.28,0.00,-0.05,-0.06,-0.16,10/24/2019,0.28,0.05,0.01,-0.03,0.02,7/25/2019,-6%,0.01,0.02,-0.05,0.01,4/26/2019,0.73,-0.01,0.02,-0.03,-0.02,1/24/2019,-0.03,-0.03,-0.06,0.01,-0.02,10/25/2018,0.05,-0.03,0.01,0.03,-0.07
FirstEnergy Corp.,11/05/1984,1996,"$22,299.04",2/7/2020,0.11,0.01,0.02,0.00,-0.04,11/4/2019,0.04,-0.03,-0.04,0.03,-0.02,7/24/2019,3%,-0.01,0.04,0.03,0.00,4/24/2019,-0.01,-0.01,0.03,0.04,0.02,2/20/2019,0.07,0.01,0.03,-0.02,0.00,10/26/2018,0.12,0.03,-0.01,0.03,0.06
Public Service Enterprise Group Inc,11/05/1984,1903,"$22,296.31",2/26/2020,0.03,0.07,0.00,-0.09,0.00,10/31/2019,0.03,0.00,-0.06,-0.04,-0.02,7/30/2019,-3%,-0.03,0.02,0.05,-0.01,5/2/2019,0.08,-0.01,0.03,0.02,-0.01,2/27/2019,0.03,-0.01,0.01,0.00,-0.03,10/30/2018,0.04,0.07,-0.03,0.01,0.05
TransDigm Group Incorporated, 3/15/2006,2003,"$22,265.49",2/4/2020,0.07,0.05,-0.03,-0.02,-0.28,11/19/2019,0.06,0.05,-0.01,-0.02,0.01,8/6/2019,15%,0.00,0.01,-0.01,-0.04,5/7/2019,0.05,0.01,-0.02,0.03,0.01,2/5/2019,0.12,0.11,0.02,-0.02,0.03,11/6/2018,0.03,0.04,-0.03,0.03,0.02
"PPG Industries, Inc.",11/05/1984,1883,"$22,220.36",1/16/2020,-0.02,-0.04,-0.03,-0.05,-0.04,10/17/2019,0.04,0.00,0.02,0.02,-0.02,7/18/2019,1%,-0.02,0.00,-0.02,-0.02,4/18/2019,0.14,0.01,-0.03,-0.02,0.00,1/17/2019,0.05,-0.03,-0.04,0.00,0.01,10/18/2018,0.00,-0.06,0.09,0.00,0.01
Hilton Worldwide Holdings Inc,12/12/2013,2010,"$21,815.71",2/11/2020,0.04,0.03,-0.06,-0.05,-0.03,10/23/2019,0.03,-0.04,0.02,-0.02,0.05,7/24/2019,4%,-0.05,0.02,-0.03,0.00,5/1/2019,0.07,-0.03,0.03,-0.02,0.00,2/13/2019,0.14,-0.02,0.03,0.01,-0.02,10/24/2018,0.02,-0.04,0.08,0.05,0.01
Kellogg Company,11/05/1984,1906,"$21,803.49",2/6/2020,0.06,-0.02,0.03,0.07,0.01,10/29/2019,0.13,-0.05,0.00,0.01,0.01,8/1/2019,9%,0.04,0.03,-0.04,-0.02,5/2/2019,0.10,0.01,0.01,-0.04,0.03,2/7/2019,0.05,-0.03,-0.02,-0.02,0.02,10/31/2018,0.01,0.07,-0.04,0.00,0.00
"IDEXX Laboratories, Inc.", 6/21/1991,1983,"$21,688.33",1/31/2020,0.15,-0.01,0.02,-0.01,-0.03,10/31/2019,0.09,-0.04,-0.12,-0.04,0.00,8/1/2019,4%,-0.01,0.05,0.03,-0.11,5/1/2019,0.11,0.02,0.09,0.02,0.03,2/1/2019,0.08,0.04,0.00,0.01,0.00,11/1/2018,0.08,-0.04,-0.02,0.01,-0.02
ResMed Inc., 6/02/1995,1989,"$21,653.50",1/31/2020,0.20,0.04,0.06,0.04,-0.11,10/25/2019,0.06,-0.05,-0.03,0.00,0.02,7/26/2019,4%,-0.01,0.07,0.03,-0.02,5/3/2019,0.06,0.08,0.03,0.04,0.00,1/25/2019,0.07,0.00,0.01,0.02,0.00,10/26/2018,0.04,-0.03,-0.02,0.02,0.10
"Agilent Technologies, Inc.",11/18/1999,1999,"$21,427.85",2/19/2020,0.00,-0.01,0.06,-0.18,0.00,11/26/2019,0.04,0.03,0.03,0.00,0.02,8/15/2019,5%,-0.01,-0.01,0.07,0.00,5/15/2019,-0.01,0.00,0.01,0.01,0.03,2/21/2019,0.04,0.01,0.02,0.01,-0.02,11/20/2018,0.10,-0.03,0.04,-0.01,0.00
"UDR, Inc.",11/05/1984,1972,"$21,373.55",2/12/2020,10.04,0.00,0.07,0.04,0.08,10/30/2019,0.12,0.00,-0.07,-0.01,-0.04,7/31/2019,45%,0.00,0.04,0.02,-0.04,5/1/2019,0.13,-0.03,0.03,0.01,0.01,2/13/2019,2.20,-0.02,-0.02,0.01,0.01,10/30/2018,-0.03,0.07,0.01,0.01,0.04
Southwest Airlines Co.,11/05/1984,1967,"$21,353.96",1/23/2020,-0.10,-0.04,0.04,-0.02,-0.08,10/24/2019,0.14,-0.03,0.01,-0.04,-0.03,7/25/2019,2%,0.05,-0.06,0.02,0.00,4/25/2019,0.15,0.00,0.00,-0.01,-0.03,1/24/2019,0.09,0.05,0.04,-0.10,-0.02,10/25/2018,0.01,0.00,0.02,0.06,-0.03
"VeriSign, Inc.", 1/30/1998,1995,"$21,260.25",2/7/2020,-0.02,0.00,0.01,0.03,0.03,10/25/2019,0.04,-0.02,-0.06,0.02,-0.01,7/26/2019,3%,-0.01,-0.01,-0.01,-0.04,4/26/2019,0.05,-0.01,-0.01,0.02,0.04,2/8/2019,0.31,0.03,0.00,0.01,0.01,10/26/2018,0.03,-0.02,0.11,0.00,0.02
PPL Corporation,11/05/1984,1994,"$21,053.45",2/14/2020,0.07,-0.03,-0.02,-0.14,0.00,11/5/2019,-0.02,0.00,-0.02,0.03,0.01,8/6/2019,4%,0.01,-0.01,-0.01,0.03,5/2/2019,-0.03,-0.01,-0.01,0.04,0.01,2/14/2019,0.07,-0.02,0.03,0.01,-0.03,11/1/2018,0.06,0.02,0.00,-0.01,0.05
"Welltower, Inc.", 8/08/1985,1970,"$21,041.80",2/13/2020,0.21,-0.04,-0.03,-0.22,0.00,10/29/2019,2.22,-0.08,-0.10,0.01,-0.04,8/1/2019,-30%,-0.02,0.09,-0.01,-0.08,4/30/2019,0.40,-0.06,0.08,0.04,0.00,2/12/2019,-0.46,0.00,-0.05,0.03,0.01,10/30/2018,-0.66,0.10,-0.01,0.02,0.05
"Prudential Financial, Inc.",12/13/2001,1875,"$21,009.24",2/5/2020,0.16,-0.01,-0.03,-0.13,-0.27,11/5/2019,0.05,0.02,0.00,-0.03,0.02,8/1/2019,-3%,0.01,-0.09,-0.03,0.10,5/2/2019,-0.05,0.00,-0.01,-0.03,0.02,2/7/2019,-0.12,0.00,0.01,0.00,-0.05,11/8/2018,0.00,0.05,-0.01,-0.07,0.03
Clorox Company,11/05/1984,1913,"$20,988.03",2/4/2020,0.11,0.01,-0.02,0.12,-0.03,10/3/2019,0.02,0.00,-0.01,-0.02,-0.03,8/1/2019,3%,0.02,0.05,-0.03,-0.03,5/1/2019,-0.01,0.02,0.02,0.03,0.00,2/4/2019,0.07,-0.04,-0.04,0.00,-0.01,10/31/2018,0.02,0.07,0.08,0.02,0.04
State Street Corporation,11/05/1984,1969,"$20,856.57",1/17/2020,0.17,-0.01,-0.05,-0.03,-0.04,10/18/2019,0.08,0.04,0.04,0.05,0.04,7/19/2019,4%,0.00,-0.06,-0.09,0.01,4/23/2019,0.04,0.01,-0.01,-0.08,-0.06,1/18/2019,0.01,0.07,-0.02,-0.02,0.00,10/19/2018,-0.01,-0.04,-0.02,0.02,0.00
Ball Corporation,11/05/1984,1880,"$20,797.35",2/6/2020,0.05,0.06,-0.01,0.10,-0.16,10/31/2019,-0.02,0.00,-0.08,-0.01,-0.05,8/1/2019,1%,0.04,0.08,0.00,-0.12,5/2/2019,-0.03,0.01,0.05,0.02,0.01,1/31/2019,0.00,0.01,0.03,-0.02,0.04,11/1/2018,-0.04,0.00,0.06,-0.03,0.02
Cummins Inc.,11/05/1984,1919,"$20,562.95",2/4/2020,0.06,-0.04,0.01,0.01,-0.13,10/29/2019,0.00,0.07,0.02,-0.01,-0.02,7/30/2019,-3%,0.01,-0.06,-0.04,0.11,4/30/2019,0.18,-0.02,0.00,0.00,0.00,2/6/2019,-0.09,-0.01,0.01,0.01,-0.01,10/30/2018,0.08,-0.06,0.06,0.02,-0.06
Entergy Corporation,11/05/1984,1913,"$20,557.90",2/19/2020,0.04,-0.02,0.04,-0.20,0.00,10/30/2019,0.10,0.02,-0.05,-0.03,-0.01,7/31/2019,-3%,-0.01,0.06,0.03,-0.03,5/1/2019,-0.05,0.01,0.03,0.02,0.01,2/20/2019,0.80,-0.01,0.01,0.00,-0.01,10/31/2018,0.29,0.05,0.02,-0.01,0.09
Valero Energy Corporation,11/05/1984,1980,"$20,425.92",1/30/2020,0.32,-0.09,-0.08,-0.09,-0.16,10/24/2019,0.10,0.07,0.02,-0.04,-0.06,7/25/2019,10%,0.02,-0.03,-0.01,-0.01,4/25/2019,0.47,0.01,-0.08,-0.06,-0.03,1/31/2019,0.88,0.03,-0.06,-0.03,0.02,10/25/2018,0.03,-0.17,-0.02,-0.07,-0.05
"EOG Resources, Inc.",10/04/1989,1985,"$20,255.48",2/28/2020,0.16,-0.09,-0.36,0.00,0.00,11/7/2019,0.00,-0.03,-0.03,-0.01,0.10,8/2/2019,-1%,-0.04,-0.07,-0.04,0.13,5/3/2019,0.17,-0.13,0.05,-0.07,-0.02,2/27/2019,-0.08,-0.04,-0.08,0.07,0.01,11/2/2018,0.15,-0.09,0.02,0.01,-0.04
"ANSYS, Inc.", 6/20/1996,1970,"$20,225.88",2/27/2020,0.13,0.01,0.00,0.15,0.00,11/7/2019,0.13,-0.01,0.09,0.03,-0.01,8/6/2019,26%,-0.05,0.07,-0.02,0.00,5/2/2019,0.18,0.01,0.01,-0.02,0.05,2/28/2019,0.43,-0.01,0.01,0.00,0.02,11/8/2018,0.27,0.05,-0.05,0.02,0.00
"Zimmer Biomet Holdings, Inc.", 7/25/2001,1927,"$20,186.31",2/4/2020,0.01,0.02,-0.01,-0.06,-0.29,11/5/2019,0.01,-0.03,0.01,0.03,-0.02,7/26/2019,1%,0.02,0.06,-0.01,-0.02,4/26/2019,0.00,-0.05,0.00,-0.04,0.04,2/1/2019,0.00,0.01,0.03,0.00,0.00,10/26/2018,0.02,0.02,-0.03,0.00,0.00
"FleetCor Technologies, Inc.",12/15/2010,1985,"$20,115.11",2/7/2020,0.01,0.03,0.00,-0.10,0.06,11/7/2019,0.02,-0.02,-0.01,0.03,-0.08,8/7/2019,2%,-0.03,0.02,-0.01,-0.05,5/8/2019,0.01,-0.01,0.04,-0.08,0.07,2/7/2019,0.02,0.01,0.01,0.01,0.02,10/31/2018,0.00,-0.09,-0.04,-0.01,-0.03
Cerner Corporation,12/05/1986,1979,"$20,098.16",2/5/2020,0.02,-0.01,-0.04,0.05,-0.11,10/25/2019,0.00,-0.01,-0.01,0.03,0.02,7/25/2019,3%,-0.06,0.00,0.01,-0.08,4/26/2019,-0.01,0.00,0.08,0.04,0.01,2/6/2019,0.00,0.01,0.00,-0.02,0.02,10/26/2018,0.00,0.02,-0.01,0.04,-0.04
Fortive Corp., 6/13/2016,2015,"$20,094.07",2/7/2020,0.06,0.00,-0.05,0.01,-0.04,10/25/2019,0.00,0.07,0.04,-0.04,0.04,7/26/2019,1%,0.02,-0.07,-0.01,-0.05,4/26/2019,0.00,0.01,-0.01,-0.04,-0.01,2/8/2019,0.07,0.02,0.03,0.01,0.00,10/26/2018,-0.14,-0.02,-0.02,0.01,-0.03
Fastenal Company, 8/20/1987,1967,"$19,581.16",1/17/2020,-0.01,-0.02,0.00,0.03,0.01,10/11/2019,0.04,-0.02,0.01,-0.03,-0.04,7/11/2019,-3%,-0.05,0.03,-0.03,0.04,4/11/2019,0.02,0.01,0.02,-0.06,-0.04,1/17/2019,-0.01,0.01,0.03,0.01,-0.01,10/10/2018,0.03,-0.03,-0.01,0.06,0.09
"Synopsys, Inc.", 2/26/1992,1986,"$19,511.48",2/20/2020,0.10,0.03,0.02,-0.09,0.00,12/5/2019,0.02,-0.04,0.03,0.01,0.06,8/22/2019,8%,0.02,0.03,-0.07,0.04,5/23/2019,0.06,-0.03,0.04,0.02,0.04,2/21/2019,0.12,0.02,0.03,0.06,0.01,12/6/2018,0.00,0.04,0.00,0.00,0.01
Archer-Daniels-Midland Company,11/05/1984,1902,"$19,325.21",1/30/2020,0.12,-0.02,-0.04,-0.05,0.01,10/31/2019,0.12,0.00,0.00,-0.01,0.04,8/1/2019,-2%,0.02,-0.07,0.00,0.07,4/26/2019,-0.23,-0.05,0.06,-0.06,0.00,2/5/2019,-0.05,-0.02,-0.02,0.01,-0.01,11/6/2018,0.11,-0.01,0.00,-0.02,-0.01
"Rockwell Automation, Inc.",11/05/1984,1928,"$19,307.46",1/29/2020,0.01,-0.04,0.02,0.02,-0.03,11/12/2019,0.05,0.00,-0.02,0.03,-0.02,7/25/2019,5%,0.09,-0.04,-0.02,0.04,4/25/2019,-0.02,0.02,-0.02,-0.07,-0.01,1/29/2019,0.11,0.03,-0.05,0.03,0.00,11/7/2018,0.05,0.10,0.00,-0.04,-0.02
Edison International,11/05/1984,1886,"$19,306.86",2/28/2020,-0.04,0.02,-0.12,0.00,0.00,10/30/2019,-0.05,-0.08,0.08,0.00,0.02,7/26/2019,40%,0.00,0.08,-0.01,-0.06,5/1/2019,-0.27,-0.04,0.02,0.02,-0.03,3/1/2019,0.00,-0.02,0.04,-0.04,0.06,10/31/2018,0.19,0.05,-0.22,0.00,0.14
"Williams Companies, Inc.",11/05/1984,1908,"$19,169.55",2/20/2020,-0.04,-0.02,-0.06,-0.15,0.00,10/31/2019,-0.28,-0.02,-0.04,0.02,-0.01,8/1/2019,16%,-0.11,-0.07,0.01,0.01,5/2/2019,-0.28,-0.03,0.02,0.00,-0.03,2/14/2019,-0.20,-0.03,0.00,0.00,0.04,11/1/2018,-0.39,-0.06,-0.03,0.00,-0.02
"Dow, Inc.", 3/20/2019,2018,"$19,079.45",1/29/2020,0.07,-0.10,-0.04,-0.08,-0.24,10/24/2019,0.26,0.04,0.10,-0.04,-0.03,7/25/2019,2%,0.10,-0.06,-0.10,0.01,5/2/2019,0.06,-0.05,0.02,-0.07,0.04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Xilinx, Inc.", 6/12/1990,1984,"$19,045.95",1/29/2020,0.09,0.00,0.00,-0.01,0.03,10/24/2019,-0.01,0.01,0.01,-0.06,0.00,7/25/2019,2%,0.12,-0.12,-0.04,-0.01,4/25/2019,0.01,0.07,0.03,-0.11,0.03,1/24/2019,0.10,-0.01,0.04,0.06,-0.02,10/25/2018,0.11,-0.03,0.05,0.07,0.00
"Tyson Foods, Inc. Class A",11/05/1984,1935,"$18,800.54",2/6/2020,0.02,-0.04,-0.02,-0.06,-0.19,11/12/2019,-0.02,-0.01,-0.01,-0.01,0.00,8/5/2019,2%,0.00,0.01,0.07,-0.08,5/6/2019,0.06,0.01,0.09,-0.02,-0.07,2/7/2019,0.01,-0.03,0.02,0.01,0.04,11/13/2018,0.18,-0.03,-0.03,0.02,0.00
Ameren Corporation,11/05/1984,1902,"$18,750.57",2/26/2020,0.22,0.06,0.07,-0.06,0.00,11/8/2019,0.01,-0.06,0.01,-0.01,-0.01,8/2/2019,-4%,0.01,0.02,-0.01,-0.03,5/9/2019,0.14,0.01,0.07,-0.02,0.00,2/14/2019,-0.13,0.00,0.01,0.03,0.00,10/31/2018,0.14,0.05,0.07,-0.03,0.08
Corteva Inc, 5/24/2019,2018,"$18,600.18",1/30/2020,-1.60,-0.03,0.02,0.01,0.00,10/31/2019,-0.14,0.00,-0.02,-0.03,0.01,8/1/2019,43%,0.10,-0.06,0.02,-0.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
DTE Energy Company,11/05/1984,1995,"$18,572.61",2/5/2020,0.04,0.00,-0.02,-0.03,-0.17,10/28/2019,-0.03,-0.03,-0.06,0.01,0.01,7/24/2019,-8%,-0.03,0.05,0.00,-0.02,4/24/2019,0.04,-0.01,0.01,0.05,0.01,2/7/2019,-0.02,-0.01,0.01,0.01,0.00,10/24/2018,0.21,0.03,-0.07,0.06,0.03
AmerisourceBergen Corporation, 4/04/1995,1947,"$18,530.28",1/30/2020,0.05,0.01,0.03,0.01,0.16,11/7/2019,0.02,-0.04,0.04,-0.02,-0.05,8/1/2019,9%,0.02,-0.03,-0.08,-0.01,5/2/2019,0.08,-0.03,0.02,0.05,0.04,1/31/2019,0.07,-0.01,0.02,-0.06,-0.04,11/6/2018,0.01,-0.01,0.10,-0.05,-0.06
"Essex Property Trust, Inc.", 6/07/1994,1971,"$18,245.61",1/30/2020,0.38,0.01,0.00,0.00,0.06,10/24/2019,0.09,-0.03,-0.06,-0.01,-0.03,7/25/2019,9%,-0.06,0.04,0.06,0.00,4/25/2019,0.44,-0.05,0.02,0.05,0.01,1/31/2019,0.50,0.05,0.01,-0.02,0.03,10/29/2018,0.06,0.08,-0.04,0.03,0.01
"Boston Properties, Inc.", 6/18/1997,1970,"$18,158.58",1/29/2020,0.02,0.04,-0.02,0.00,0.04,10/30/2019,0.00,0.02,-0.03,0.00,-0.03,7/31/2019,38%,0.01,-0.01,-0.01,0.01,5/1/2019,-0.05,-0.01,-0.01,0.00,0.00,1/30/2019,-0.25,0.05,0.00,-0.02,0.01,10/31/2018,-0.10,0.04,0.03,0.03,0.02
"Alexandria Real Estate Equities, Inc.", 5/28/1997,1994,"$18,127.70",2/4/2020,2.17,0.04,-0.02,0.04,-0.10,10/29/2019,-1.88,0.01,-0.03,0.03,-0.01,7/30/2019,-6%,-0.01,0.00,0.03,0.00,4/30/2019,1.05,-0.04,0.05,0.02,0.02,2/5/2019,-1.57,0.03,0.02,0.02,0.00,10/30/2018,2.71,0.06,-0.02,0.00,0.02
Parker-Hannifin Corporation,11/05/1984,1918,"$18,011.90",1/30/2020,0.12,-0.03,0.01,-0.01,-0.15,10/31/2019,0.04,0.06,0.04,0.01,0.03,8/1/2019,6%,0.05,-0.05,0.01,0.08,5/2/2019,0.05,-0.05,-0.03,-0.06,0.03,1/31/2019,0.04,0.04,0.01,0.02,-0.03,11/1/2018,0.12,-0.03,0.07,0.00,-0.06
"McCormick & Company, Incorporated",11/05/1984,1889,"$17,937.67",1/28/2020,0.00,0.06,-0.04,0.01,0.08,10/1/2019,0.13,0.00,-0.05,-0.01,-0.03,6/27/2019,8%,-0.05,-0.01,0.02,0.04,3/26/2019,0.08,0.03,0.03,-0.03,0.04,1/24/2019,-0.02,-0.04,-0.02,0.05,0.03,9/27/2018,0.01,-0.01,0.09,0.07,0.04
"Alexion Pharmaceuticals, Inc.", 2/28/1996,1992,"$17,809.50",1/30/2020,0.04,-0.05,0.00,0.03,-0.05,10/23/2019,0.13,0.00,-0.02,0.01,-0.01,7/24/2019,13%,-0.04,-0.06,0.04,-0.15,4/25/2019,0.08,-0.07,-0.01,-0.03,-0.07,2/4/2019,0.18,0.07,0.02,0.04,-0.03,10/24/2018,0.16,-0.01,0.09,-0.01,-0.02
